name ts   x y z   roll pitch yaw  err delay
HR_6 1787068298.358151000 0.677720   -0.746527 0.24 -1.75758e-07   -1.57539e-07 0.991996 0.0001   9e-06
QR_4 1787068298.358151000 -1.000000   2.22045e-16 0.0299999 2.57732e-17   5.12991e-10 9.48721e-19 0.0001   9e-06
HR_6 1787068298.368151000 0.677720   -0.746527 0.24 -1.75758e-07   -1.57539e-07 0.991996 0.0001   5.2e-05
QR_4 1787068298.368151000 -1.000000   2.22045e-16 0.0299999 2.57732e-17   5.12991e-10 9.48721e-19 0.0001   5.2e-05
HR_6 1787068298.378151000 0.677720   -0.746527 0.24 -1.75758e-07   -1.57539e-07 0.991996 0.0001   0.001475
QR_4 1787068298.378151000 -1.000000   2.22045e-16 0.0299999 2.57732e-17   5.12991e-10 9.48721e-19 0.0001   0.001475
HR_6 1787068298.388151000 0.677720   -0.746527 0.24 -1.75758e-07   -1.57539e-07 0.991996 0.0001   0.0005
QR_4 1787068298.388151000 -1.000000   2.22045e-16 0.0299999 2.57732e-17   5.12991e-10 9.48721e-19 0.0001   0.0005
HR_6 1787068298.398151000 0.677720   -0.746527 0.24 -1.75758e-07   -1.57539e-07 0.991996 0.0001   4.3e-05
QR_4 1787068298.398151000 -1.000000   2.22045e-16 0.0299999 2.57732e-17   5.12991e-10 9.48721e-19 0.0001   4.3e-05
HR_6 1787068298.408152000 0.677720   -0.746527 0.24 -1.75758e-07   -1.57539e-07 0.991996 0.0001   0.000151
QR_4 1787068298.408152000 -1.000000   2.22045e-16 0.0299999 2.57732e-17   5.12991e-10 9.48721e-19 0.0001   0.000151
HR_6 1787068298.418152000 0.677720   -0.746527 0.24 -1.75758e-07   -1.57539e-07 0.991996 0.0001   4.3e-05
QR_4 1787068298.418152000 -1.000000   2.22045e-16 0.0299999 2.57732e-17   5.12991e-10 9.48721e-19 0.0001   4.3e-05
HR_6 1787068298.428152000 0.677720   -0.746527 0.24 -1.75758e-07   -1.57539e-07 0.991996 0.0001   0.000735
QR_4 1787068298.428152000 -1.000000   2.22045e-16 0.0299999 2.57732e-17   5.12991e-10 9.48721e-19 0.0001   0.000735
HR_6 1787068298.438152000 0.677720   -0.746527 0.24 -1.75758e-07   -1.57539e-07 0.991996 0.0001   2.3e-05
QR_4 1787068298.438152000 -1.000000   2.22045e-16 0.0299999 2.57732e-17   5.12991e-10 9.48721e-19 0.0001   2.3e-05
HR_6 1787068298.448152000 0.677720   -0.746527 0.24 -1.75758e-07   -1.57539e-07 0.991996 0.0001   5.9e-05
QR_4 1787068298.448152000 -1.000000   2.22045e-16 0.0299999 2.57732e-17   5.12991e-10 9.48721e-19 0.0001   5.9e-05
HR_6 1787068298.458152000 0.677720   -0.746527 0.24 -1.75758e-07   -1.57539e-07 0.991996 0.0001   2.2e-05
QR_4 1787068298.458152000 -1.000000   2.22045e-16 0.0299999 2.57732e-17   5.12991e-10 9.48721e-19 0.0001   2.2e-05
HR_6 1787068298.468152000 0.677720   -0.746527 0.24 -1.75758e-07   -1.57539e-07 0.991996 0.0001   0.000112
QR_4 1787068298.468152000 -1.000000   2.22045e-16 0.0299999 2.57732e-17   5.12991e-10 9.48721e-19 0.0001   0.000112
HR_6 1787068298.478152000 0.677720   -0.746527 0.24 -1.75758e-07   -1.57539e-07 0.991996 0.0001   0.00019
