# pom logged on Tue Aug 18 15:52:23 2026
#
# decimation 1
# process model constant_acceleration
# process noise acc 100 m/s³, aacc 50 rad/s²
# magnetic field X 23.8 µT, Y -0.4 µT, Z -39.8 µT
#
ts i posp attp velp avelp accp x y z roll pitch yaw vx vy vz wx wy wz ax ay az sx2 sy2 sz2 sr2 sp2 sh2 svx2 svy2 svz2 swx2 swy2 swz2 sax2 say2 saz2
1787068343.685738000 0 1 1 1 1 1 0.837475 -0.868448 0.240016 3.63413e-05 1.67363e-05 0.944594 -7.54025e-05 0.00057409 0.000469608 0.00180516 -0.000246791 -0.00127752 0.00506387 0.00441772 -0.00130205 2.70639e-08 2.70639e-08 2.68786e-08 3.40745e-07 3.40745e-07 3.42181e-07 3.73549e-06 3.73549e-06 3.51718e-06 3.73549e-06 3.73549e-06 3.51718e-06 0.0101036 0.0101036 0.0100727
1787068343.686723000 0 1 1 1 1 1 0.837475 -0.868447 0.240016 3.78298e-05 1.59278e-05 0.944594 -7.36551e-05 0.000577845 0.000464816 0.00175415 -4.81178e-05 -0.00117336 0.00450136 0.00431427 -0.00191126 2.76067e-08 2.76067e-08 2.74086e-08 3.40537e-07 3.40537e-07 3.41973e-07 3.74059e-06 3.74059e-06 3.51784e-06 3.74059e-06 3.74059e-06 3.51784e-06 0.0100267 0.0100267 0.00999574
1787068343.687732000 0 1 1 1 1 1 0.837475 -0.868446 0.240017 3.83011e-05 1.68303e-05 0.944594 -6.87122e-05 0.000584779 0.000462899 0.00130186 0.000146915 -0.000865565 0.004571 0.00476286 -0.00190924 2.81702e-08 2.81702e-08 2.79585e-08 3.40868e-07 3.40868e-07 3.42304e-07 3.74845e-06 3.74845e-06 3.5211e-06 3.74845e-06 3.74845e-06 3.5211e-06 0.0100817 0.0100817 0.0100507
1787068343.691355000 0 1 1 1 1 1 0.837475 -0.868444 0.240018 4.04079e-05 1.71178e-05 0.944593 -4.89119e-05 0.000608082 0.000458567 0.000809366 0.000324988 -0.000544035 0.00495857 0.0054863 -0.00159987 3.02635e-08 3.02635e-08 2.99976e-08 5.50103e-07 5.50104e-07 5.5154e-07 4.63865e-06 4.63865e-06 4.39424e-06 4.63865e-06 4.63865e-06 4.39424e-06 0.0331009 0.0331009 0.0330699
1787068343.691864000 0 1 1 1 1 1 0.837476 -0.868448 0.240015 2.90645e-05 8.09318e-06 0.944597 -3.36446e-05 0.000560495 0.00042313 0.000770473 -0.00164527 -4.2717e-05 0.00556425 0.0038381 -0.00131233 2.37894e-08 2.37894e-08 2.3625e-08 3.18166e-07 3.18166e-07 3.19727e-07 3.17926e-06 3.17926e-06 2.9756e-06 3.17926e-06 3.17926e-06 2.9756e-06 0.00947352 0.00947352 0.00944478
1787068343.692801000 0 1 1 1 1 1 0.837476 -0.868448 0.240015 2.80059e-05 2.89086e-06 0.944597 -2.82131e-05 0.000560575 0.000421028 0.00136602 -0.00213553 -1.22739e-05 0.00560417 0.00319684 -0.00147141 2.42254e-08 2.42254e-08 2.40499e-08 3.04952e-07 3.04952e-07 3.06513e-07 3.11938e-06 3.11938e-06 2.91176e-06 3.11938e-06 3.11938e-06 2.91176e-06 0.00612498 0.00612498 0.00609622
1787068343.693725000 0 1 1 1 1 1 0.837476 -0.868447 0.240015 2.71467e-05 7.11437e-07 0.944597 -2.30342e-05 0.000563529 0.000419668 0.00136602 -0.00213553 -1.22739e-05 0.00560417 0.00319684 -0.00147141 2.46615e-08 2.46615e-08 2.44747e-08 3.18363e-07 3.18363e-07 3.19925e-07 3.19277e-06 3.19277e-06 2.98118e-06 3.19277e-06 3.19277e-06 2.98118e-06 0.0105697 0.0105697 0.0105409
1787068343.694755000 0 1 1 1 1 1 0.837476 -0.868447 0.240016 2.63548e-05 -4.77382e-06 0.944597 -1.7751e-05 0.000564804 0.000416845 0.00186248 -0.00245515 -9.32689e-06 0.00552763 0.00288018 -0.00167707 2.51534e-08 2.51534e-08 2.49533e-08 3.18565e-07 3.18565e-07 3.20126e-07 3.18752e-06 3.18752e-06 2.97145e-06 3.18752e-06 3.18752e-06 2.97145e-06 0.0103578 0.0103578 0.0103291
1787068343.695780000 0 1 1 1 1 1 0.837476 -0.868446 0.240016 2.81824e-05 -6.82791e-06 0.944598 -1.68958e-05 0.000565468 0.000416085 0.00202696 -0.00189916 3.82946e-05 0.00474782 0.00250954 -0.00152173 2.56495e-08 2.56495e-08 2.54357e-08 3.1923e-07 3.1923e-07 3.20791e-07 3.19192e-06 3.19192e-06 2.97133e-06 3.19192e-06 3.19192e-06 2.97133e-06 0.0104204 0.0104204 0.0103917
1787068343.699311000 0 1 1 1 1 1 0.837476 -0.868444 0.240018 3.14761e-05 -1.41159e-05 0.944598 -9.4968e-06 0.000570834 0.000413349 0.00211723 -0.00121999 9.08019e-05 0.00364896 0.00209962 -0.00121234 2.74166e-08 2.74166e-08 2.71508e-08 5.20617e-07 5.20617e-07 5.22178e-07 4.0479e-06 4.0479e-06 3.8113e-06 4.0479e-06 4.0479e-06 3.8113e-06 0.0326412 0.0326412 0.0326124
1787068343.700269000 0 1 1 1 1 1 0.837476 -0.868443 0.240018 3.17179e-05 -1.64443e-05 0.944598 -6.00122e-06 0.000572845 0.000412188 0.00211723 -0.00121999 9.08019e-05 0.00364896 0.00209962 -0.00121234 2.79187e-08 2.79187e-08 2.76375e-08 7.23911e-07 7.23911e-07 7.25472e-07 4.88164e-06 4.88164e-06 4.64057e-06 4.88164e-06 4.88164e-06 4.64057e-06 0.0447757 0.0447757 0.0447469
